Control number,Author,Title,Total loan transactions
1471196275,"Hendra, Sue",I spy island / Sue Hendra & Paul Linnet,92
1407191977,"Stephens, Helen, 1972-",Saving Mr Hoot / Helen Stephens,91
1472263936,"Hislop, Victoria",The figurine / Victoria Hislop,91
1526603438,"Charman, Katrina","The whales on the bus / Katrina Charman, Nick Sharratt",91
0141501790,"Dodd, Lynley",Hairy Maclary's hat tricks / Lynley Dodd,90
0192780360,"Latimer, Alex",Food fight / Alex Latimer,90
1529093732,"Donaldson, Julia","Sugarlump and the unicorn / Julia Donaldson, Julia Monk",90
1529343216,"Robinson, Peter, 1950-2022",Standing in the shadows / Peter Robinson,90
1529504031,"Browne, Anthony, 1946-","Ernest, the elephant / Anthony Browne",90
1509862595,"Murphy, Jill, 1949-",Peace at last / Jill Murphy,89
1529060621,"Gledhill, Carly",Frog goes on holiday / Carly Gledhill,89
1838774645,"Swallow, James",Outlaw / James Swallow,89
1408369877,"Brownlow, Michael, 1952-","Ten little pirates / Mike Brownlow, Simon Rickerty",88
1529503248,"Rosen, Michael, 1946-",Michael Rosen's Sticky McStickstick : the friend who he,88
0007155166,"Butterworth, Nick",The rescue party / Nick Butterworth,87
0702313637,"Miller, Leanne","Party parade / Leanne Miller, Sara Miller",87
1408355892,"Brownlow, Michael, 1952-","Ten little monkeys / Mike Brownlow, Simon Rickerty",87
1408860112,"Bently, Peter, 1960-","The royal leap-frog / Peter Bently, Claire Powell ; fro",87
0349433151,"Ellis, Kate, 1953-",The killing place / Kate Ellis,86
1529026148,"Hood, Morag",Teapot trouble / Morag Hood,86
1529051304,"Rayner, Catherine",Five bears / Catherine Rayner,86
0008497672,"Gerlings, Rebecca",Bing's new friend / adapted from the original story by,85
0857551191,"Bee, William",Stanley's library / William Bee,85
1408330121,"Brownlow, Michael","Ten little princesses / Mike Brownlow, Simon Rickerty",85
1408729091,"McDermid, Val",Past lying / Val McDermid,85
1447275985,"Donaldson, Julia","The girl, the bear and the magic shoes / written by Jul",85
1804545627,"Sullivan, Tim, 1958-",The monk / Tim Sullivan,85
0008557063,"Holowaty, Lauren",Sparkle magic,84
1399800531,"Herron, Mick",The secret hours / Mick Herron,84
1408717131,"Billingham, Mark",The wrong hands / Mark Billingham,84
1529070538,"Cleeves, Ann",A lesson in dying / Ann Cleeves,84
1786482126,"Griffiths, Elly",The Janus stone / Elly Griffiths,84
0007155182,"Butterworth, Nick",The secret path / Nick Butterworth,83
1408729075,"McDermid, Val",Past lying / Val McDermid,83
