"2. The top one hundred titles loaned, with a count of each for the year",,,
,,,
"Suggested format is a spreadsheet with column headings of 
ISBN, 
title, 
9.78178E+12,Fergal is fuming!,"Starling, Robert",159
9.7807E+12,There's no such thing as... dragons,"Rowland, Lucy (Children's author)",158
9.78024E+12,Bingo,NULL,158
9.78147E+12,Carnival catastro-pea!,"Hendra, Sue",158
9.78178E+12,I don't want to wash my hands!,"Ross, Tony",158
9.78074E+12,Owl babies,"Waddell, Martin",157
9.78024E+12,The very hungry caterpillar's jungle hide & seek : a finger trail lift-the-flap book,NULL,156
9.78024E+12,Peppa at the beach,"Archer, Mandy",156
9.78141E+12,A quiet night in,"Murphy, Jill",156
9.78024E+12,Diper o?verlo?de,"Kinney, Jeff",156
9.78141E+12,Be brave little penguin - (Little Library of Big Feelings Collection),"Andreae, Giles",155
9.7807E+12,Cat Kid Comic Club. On purpose,"Pilkey, Dav",155
9.78024E+12,The Very Hungry Caterpillar eats breakfast : a counting book,NULL,154
9.78034E+12,Six dinner Sid,"Moore, Inga",154
9.78141E+12,King Tiger comes to play,"Holowaty, Lauren",153
9.78001E+12,A day at the airport,"Scarry, Richard",152
9.78024E+12,Barky boats,NULL,152
9.78024E+12,Swim school,NULL,151
9.78024E+12,Animals in the wild : with adorable animals to touch and discover!,NULL,151
9.78178E+12,Dreamweaver,"Freedman, Claire",151
9.78141E+12,Jasmine Whizzpaws' to the Rescue,"Meadows, Daisy",150
9.78074E+12,Max,"Graham, Bob",149
9.78145E+12,Tidy,"Gravett, Emily",148
9.78141E+12,Meghan the wedding sparkle fairy,"Meadows, Daisy",147
9.78144E+12,Oi aardvark!,"Gray, Kes",147
9.78145E+12,"The girl, the bear and the magic shoes","Donaldson, Julia",147
9.78141E+12,Penelope the foal fairy,"Meadows, Daisy",146
9.78019E+12,Isadora Moon has a sleepover,"Muncaster, Harriet",145
