"1. The number of loans per library branch, and per month",,,,,,,,,,,,,
"A loan being an issue or renewal of any item from library stock, issued at the branch specified. Suggested format is a spreadsheet with column headings of month, branch, number of loans.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Library,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,Total
Warboys Library,"1,030","1,105","1,065","1,090","1,200",995,"1,077","1,012",681,993,929,946,"12,123"
Whittlesey Library,"1,937","1,960","1,925","2,606","2,755","2,496","2,066","1,823","1,333","1,611","1,770","2,030","24,312"
Willingham Library,963,"1,284","1,349","1,618","1,709","1,507","1,427","1,274",891,982,"1,192","1,107","15,303"
Wisbech Library,"3,472","3,575","3,742","4,826","5,836","4,265","3,836","3,658","2,649","3,859","3,890","3,911","47,519"
Yaxley Library,"1,603","1,649","1,694","2,262","2,327","1,827","2,019","1,771","1,212","1,569","1,657","1,558","21,148"
Cambridgeshire Libraries,"1,127","1,183","1,104","1,157","1,441","1,118","1,261","1,195",930,860,980,"1,085","13,441"
,,,,,,,,,,,,,
Community Managed Libraries,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,Total
Total,"1,957","2,424","2,360","2,418","2,444","2,414","2,439","2,281","1,733","1,871","2,098","2,110","26,549"
Bassingbourn,38,84,48,44,62,95,75,90,69,48,79,78,810
Bottisham,131,207,225,287,250,252,230,224,185,192,272,174,"2,629"
Brampton Community Library,428,443,600,668,611,521,462,475,294,442,466,419,"5,829"
Coneygear Centre Library,25,18,14,14,6,19,50,22,33,20,12,7,240
Fulbourn,272,352,226,248,324,331,353,259,177,196,300,336,"3,374"
Gamlingay,64,68,50,51,41,47,63,36,39,75,50,43,627
Haddenham,145,184,142,166,180,224,156,177,133,153,146,142,"1,948"
Little Downham,8,11,3,5,11,18,24,14,10,1,6,10,121
Melbourn,219,220,213,231,202,225,267,285,171,162,159,255,"2,609"
Somersham,152,188,231,203,216,197,183,166,211,160,169,200,"2,276"
Swavesey,91,154,192,102,150,96,106,89,44,81,56,87,"1,248"
Waterbeach,384,495,416,399,391,389,470,444,367,341,383,359,"4,838"

