Title,Author,,No. of loans,,,
Cite them right : the essential referencing guide,"Pears, Richard",,218,,,
Drug calculations for nurses : a step-by-step approach,"Lapham, Robert",,218,,,
Community theatre : global perspectives,"Van Erven, Eugn?e",,213,,,
Project management : achieving competitive advantage,"Pinto, Jeffrey K.",,212,,,
Vulnerable groups in health and social care,"Larkin, Mary",,212,,,
Procedures manual to accompany Dental hygiene theory and practice,"Darby, Michele Leonardi, 1949-",,211,,,
The student nurse handbook : a survival guide,"Siviter, Bethann",,209,,,
Nursing and collaborative practice : a guide to interprofessional and interpersonal working,"Goodman, Benny",,207,,,
Octopus shocktopus!,"Bently, Peter, 1960-",,205,,,
"Social work practice : assessment, planning, intervention and review","Parker, Jonathan, 1960-",,204,,,
Building communities from the inside out : a path toward finding and mobilizing a community's assets,"Kretzmann, John P.",,203,,,
Surviving your social work placement,"Lomax, Robert",,203,,,
Actioning and how to do it,"Moseley, Nick, 1962-",,202,,,
Pickard's manual of operative dentistry,"Banerjee, Avijit",,201,,,
Assessment made incredibly easy!,"Rushforth, Helen",,200,,,
"Compassion in nursing : theory, evidence and practice",---,,200,,,
Communication & interpersonal skills in social work,"Koprowska, Juliet",,199,,,
Pocket guide to crisis intervention,"Roberts, Albert R.",,199,,,
Basic guide to oral health education and promotion,"Felton, Simon, 1970-",,198,,,
Fight direction for stage and screen,"Hobbs, William, 1939-",,197,,,
How to write your undergraduate dissertation,"Greetham, Bryan, 1946-",,196,,,
Abigail's party,"Leigh, Mike, 1943-",,193,,,
Social work : an introduction,---,,193,,,
Doing a literature review : releasing the social science research imagination,"Hart, Chris, 1970-",,192,,,
The whales on the bus,"Charman, Katrina",,192,,,
Joan Littlewood,"Holdsworth, Nadine",,190,,,
Leadership and management tools for the new nurse : a case study approach,"Marquis, Bessie L.",,189,,,
Essentials of mental health nursing,---,,188,,,
"Kozier & Erb's fundamentals of nursing : concepts, process and practice","Berman, Audrey",,188,,,
,,,,,,
,,,,,,
"The Forum is an integrated library with the University of Essex and South Essex College, and the academic titles above reflect that.",,,,,,
